Un métro roule à 20km/h, en combien de temps fera-t-il 100km ?; 1 heures; 4 heures; 5 heures; 2 heures; 3; A subway travels at 20km/h, how long will it take to travel 100km?; 5 hours; 4 hours; 3 hours; 2 hours; 1; 地铁以 20km/h 的速度行驶，需要多长时间才能行驶 100km？ ; 5 小时; 4 小时; 3 小时; 2 小时; 1;
Sachant qu'un trajet coûte 1,80, combien coûte 9 trajets ? ; 16,20; 16,80; 17,20; 17,80; 1; Knowing that a trip costs 1.80, how much does 9 trips cost? ; 16.20; 16.80; 17.20; 17.80; 1; 知道一次旅行的费用是 1.80，9 次旅行的费用是多少？ ; 16.20; 16.80; 17.20; 17.80; 1;
Un trajet ZAP vaut 1,20 et un trajet régulier 1,80, quel est le pourcentage de réduction ?; 30%; 34%; 35%; 33%; 4; A ZAP trip costs 1.20 and a regular trip 1.80, what is the percentage of reduction?; 33%; 34%; 35%; 36%; 1; ZAP 旅行的费用是 1.20，常规旅行的费用是 1.80，折扣率是多少？ ; 33%; 34%; 35%; 36%; 1;
Combien de temps dure un trajet de 2 heures 30 minutes ?; 150 minutes; 120 minutes; 130 minutes; 140 minutes; 1; How long does a 2 hours 30 minutes trip last?; 150 minutes; 120 minutes; 130 minutes; 140 minutes; 1; 2 小时 30 分钟的旅行持续多长时间？ ; 150 分钟; 120 分钟; 130 分钟; 140 分钟; 1;
Une rame mesure 5 mètres, combien mesure un métro de 9 rames ?; 40 mètres; 45 mètres; 50 mètres; 55 mètres; 4; A subway car measures 5 meters, how long is a subway of 9 cars?; 45 meters; 40 meters; 50 meters; 55 meters; 1; 一节地铁车厢长 5 米，9 节地铁车厢长多少米？ ; 45 米; 40 米; 50 米; 55 米; 1;
Je soulève 2,5 fois ton poids quand je veux, sachant que tu pèses 60 kilos, je soulève combien ?; 150 kilos; 140 kilos; 130 kilos; 120 kilos; 1; I lift 2.5 times your weight whenever I want, knowing that you weigh 60 kilos, how much do I lift?; 150 kilos; 140 kilos; 130 kilos; 120 kilos; 1; 我想举起你 2.5 倍的重量，知道你重 60 公斤，我举起多少重量？ ; 150 公斤; 140 公斤; 130 公斤; 120 公斤; 1;
Je peux courser les fraudeurs jusque 30km, si tu cours à 10km/h, combien de temps je mettrai pour te rattraper ?; 3 heures; 2 heures; 4 heures; 5 heures; 2; I can chase fraudsters up to 30km, if you run at 10km/h, how long will it take me to catch up with you?; 2 hours; 3 hours; 4 hours; 5 hours; 1; 我可以追赶欺诈者达 30km，如果你以 10km/h 的速度跑，我需要多长时间才能追上你？ ; 2 小时; 3 小时; 4 小时; 5 小时; 1;
Ton amende est le triple d'un trajet, plus la moitié d'un trajet, le trajet est à 1,80, combien coûte ton amende ?; 4,50; 4,80; 5,10; 5,40; 1; Your fine is three times a trip, plus half a trip, knowing that you forgot your card, how much is your fine?; 4.50; 4.80; 5.10; 5.40; 1; 你的罚款是一次旅行的三倍，再加上半次旅行，知道你忘记了你的卡，你的罚款是多少？ ; 4.50; 4.80; 5.10; 5.40; 1;
Je suis sous-payé à 1000 par mois, combien est-ce que je gagne chaque jour ?; 28; 30; 33; 40; 3; I am underpaid at 1000 per month, how much do I earn each day?; 33.33; 30; 35; 40; 1; 我每月被低估 1000，我每天赚多少？ ; 33.33; 30; 35; 40; 1;
Un trajet coûte 1,80, combien coûte un aller-retour ?; 3,60; 3,80; 4,00; 4,20; 1; A trip costs 1.80, how much does a round trip cost?; 3.60; 3.80; 4.00; 4.20; 1; 一次旅行的费用是 1.80，往返旅行的费用是多少？ ; 3.60; 3.80; 4.00; 4.20; 1;
Ma maman m'a donné 10 euros aujourd'hui, combien de trajet ZAP à 1,20 puis-je acheter ? ; 8; 9; 10; 11; 1; My mom gave me 10 euros today, how many ZAP trips at 1.20 can I buy? ; 9; 8; 10; 11; 1; 今天我妈妈给了我 10 欧元，我可以买多少次 1.20 的 ZAP 旅行？ ; 9; 8; 10; 11; 1; 
Ma psy dit que je suis borderline et obsessionnel, sachant qu'elle me coûte 35/h, combien je payerais 3 h ?; 105; 110; 115; 120; 1; My therapist says I'm borderline and obsessive, knowing that she costs me 35/h, how much would I pay for 3 hours?; 105; 110; 115; 120; 1; 我的心理医生说我是边缘人格障碍和强迫症，知
J'ai tué 5 fraudeurs cette semaine, à ce rythme, en un an, quel sera mon K/D/A ?; 260; 270; 280; 290; 1; I killed 5 fraudsters this week, at this rate, in a year, what will be my K/D/A?; 270; 260; 280; 290; 1; 我这
18,5 km séparent Lille de Tourcoing, si je roule à 20 km/h, combien de temps me faudra-t-il pour arriver ?; Aucune raison d'aller à Tourcoing; 55 minutes; 65 minutes; 70 minutes; 2; 18.5 km separate Lille from Tourcoing, if I drive at 20 km/h, how long will it take me to get there?; 60 minutes; 55 minutes; 65 minutes; 70 minutes; 1; 18.5 km 分开里尔和图尔宽，如果我以 20 km/h 的速度行驶，我需要多长时间才能到达那里？ ; 60 分钟; 55 分钟; 65 分钟; 70 分钟; 1;
